sample_id,depth_m,porosity_percent,permeability_md
S001,1006.06,5.63,24.52
S002,1009.89,23.41,935.97
S003,1018.07,7.17,51.82
S004,1020.12,10.47,132.35
S005,1025.61,9.97,139.32
S006,1033.18,10.51,146.82
S007,1039.74,5.16,37.9
S008,1044.79,13.51,135.15
S009,1051.33,13.41,115.9
S010,1053.39,26.19,1111.5
S011,1061.73,23.24,792.98
S012,1067.89,14.46,284.28
S013,1072.82,20.46,823.41
S014,1077.31,22.61,325.48
S015,1081.41,12.23,91.76
S016,1086.93,7.53,46.71
S017,1094.04,14.12,214.36
S018,1097.84,11.67,254.45
S019,1105.09,20.23,339.06
S020,1110.92,9.09,82.42
S021,1117.46,21,649.61
S022,1121.74,26.07,1302.61
S023,1125.42,5.8,27.92
S024,1131.07,10.27,193.03
S025,1139.01,12.87,245.7
S026,1142.58,27.86,1076.53
S027,1147.56,11.17,162.79
S028,1153.05,19.61,772.69
S029,1159.1,10.48,210.46
S030,1165.04,7.27,26.91
S031,1168.94,20.69,794.74
S032,1175.69,6.59,40.74
S033,1183.48,18.23,697.25
S034,1188.44,5.29,37.04
S035,1193.23,18.42,328.21
S036,1198.56,7.79,63.25
S037,1203.31,28.85,1774.42
S038,1208.05,17.51,250.45
S039,1216.15,26.76,785.74
S040,1220.56,20.22,326.4
S041,1226.55,18.48,612.46
S042,1231.12,5.01,20.5
S043,1234.58,28.23,1695.62
S044,1243.33,12.69,94.26
S045,1249.01,28.67,606.43
S046,1252.94,6.73,65.29
S047,1259.56,8.21,74.74
S048,1264.2,11.63,239.76
S049,1269.19,10.29,132.55
S050,1275.92,10.03,92.62
